,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Allanus Mcdonell,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,na,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,na,na,na,na,residentia trojana ad s. josephi,na,na,na,na,na,na,na,na,na,na,na,na
Carolus Petitdemange,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,collegium s. crucis,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Moylan,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Carolus Brendle,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Elias Cote,residentia neo eboracensis ad s. laurentii,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joel Miville,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,na,na,na,na,na,na,na,na,na,na,na
Michael Kays,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,na,na,na,na,na,na,na,na,na,na,na
Josephus Durthaller,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Hackspiel,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Busam,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,residentia neo eboracensis ad s. joseph,residentia neo eboracensis ad s. joseph,residentia neo eboracensis ad s. joseph,collegium baltimorense,residentia s. ignatii,collegium caesariense sancti petri,na,na,na,na,na,na,na,na,na,na
Isidorus Daubresse,domus probationis manresana,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Joannes B. Archambault,domus probationis manresana,residentia conewaginensis,residentia conewaginensis,residentia conewaginensis,residentia conewaginensis,residentia philadelphiensis ad s. josephi,residentia s. thomae,residentia bohemiensis s. francisci xaverii,residentia bohemiensis s. francisci xaverii,residentia bohemiensis s. francisci xaverii,collegium baltimorense,na,na,na,na,na,na,na,na,na,na,na
Augustus Langcake,domus probationis manresana,collegium baltimorense,collegium baltimorense,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia bostoniensis ad s. mariae,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,collegium sancti francisci xaverii,residentia in insula keyser,na,na,na,na,na,na,na,na,na,na,na
Joannes Finnegan,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Gleason,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,residentia trojana ad s. josephi,residentia trojana ad s. josephi,residentia trojana ad s. josephi,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,na,na,na,na,na,na,na,na,na,na,na
Raphael Dewey,domus probationis manresana,domus probationis manresana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes F. X. O'Conor,domus probationis manresana,collegium georgiopolitanum,collegium georgiopolitanum,collegium bostoniense,collegium maximum woodstockiense,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium sancti francisci xaverii,collegium sancti francisci xaverii,domus probationis fridericopolitana,collegium georgiopolitanum,collegium georgiopolitanum,collegium sancti francisci xaverii,collegium sancti francisci xaverii,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,na,na,na,na,na
Raphael O'Connell,domus probationis manresana,collegium sancti francisci xaverii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Antonius Maas,domus probationis manresana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,provincial,provincial,provincial,provincial,na,na,na,na,na,na,na
Dionysius Conway,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius McCarthy,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,na,na,na
Dionysius Kernan,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius O'Sullivan,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Spillane Murphy,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Haggerty Bidellus,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Magrath,domus probationis manresana,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Renaud,domus probationis manresana,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense,collegium bostoniense,collegium bostoniense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Duffy,domus probationis manresana,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Stadelman,domus probationis manresana,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Henricus Rache,domus probationis manresana,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Sub Bid. Weber,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Mulvaney,domus probationis manresana,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Mulry,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Pittar,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense,collegium fordhamense,degentes extra provinciam,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Callanan,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Dominicus Leischner,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,residentia in insula keyser,na,na,na,na,na,na,na,na,na,na,na
Franciscus Vachon,domus probationis manresana,residentia philadelphiensis ss. nominis jesu,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Donovan,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,residentia conewaginensis,residentia conewaginensis,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na
Jacobus Mccloskey,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,na,na,na,collegium georgiopolitanum,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na
Jeremias Flaherty,domus probationis manresana,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,collegium baltimorense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,na,collegium washingtoniense,domus probationis poughkeepsiensis,na,na
Joannes Langan,domus probationis manresana,domus probationis manresana,collegium caesariense sancti petri,domus probationis manresana,domus probationis manresana,domus probationis manresana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Joannes Paffe,domus probationis manresana,domus probationis manresana,collegium baltimorense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,na,na,na,na,na,na,na,na
Patritius Farrell,domus probationis manresana,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,collegium sancti francisci xaverii,na,na,na,na,na,na,na,na,na,na,na
Ricardus Purcell,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Stephanus Bueno,domus probationis manresana,na,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Joannes Nicholson,domus probationis manresana,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,collegium philadelphiense,collegium philadelphiense,collegium philadelphiense
Gulielmus Curley,domus probationis manresana,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Julii,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Carolus Julii,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Petrus Julii,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Harlin,domus probationis manresana,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Matthaeus O'Rourke,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Coyle,domus probationis manresana,na,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Josephus Hanselman,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Michael Cunningham,domus probationis manresana,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Van Rensselaer,domus probationis manresana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Deane,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Griffin,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Cornelius Clifford,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Julii,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Kane,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Cunningham,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Ennis,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus McDonough,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus Richmond,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius Mugan,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Ricardus Casey,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas Ryan,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Cryan,domus probationis manresana,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Rufus Duff,domus probationis manresana,domus probationis manresana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Geraldus Bergan,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Reynaud,domus probationis manresana,na,domus probationis fridericopolitana,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes O'Connell,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,domus probationis manresana,residentia ad s. ignatii,residentia s. ignatii,residentia s. ignatii,collegium georgiopolitanum,collegium georgiopolitanum,collegium maximum woodstockiense,collegium baltimorense,collegium baltimorense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Michael Yungfleisch,domus probationis manresana,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Robertus Dockery,domus probationis manresana,na,na,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,collegium bostoniense,residentia conewaginensis,residentia conewaginensis,residentia in insula keyser,residentia in insula keyser,residentia in insula keyser,residentia in insula keyser,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,residentia in insula keyser,collegium fordhamense,collegium fordhamense
